emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
"Journalist, newspaper",8,NY,MORTGAGE,134241,Verified,28.99,190200.0,Source Verified,23.08,0,8.0,1985,4,20,6,10929,5617,1,2,,0,1740,5,12,18,8,0,2,2,40861,6,11,0,4,71.0,0,0,vacation,joint,46664,60,8.43,972.17,E,D2,Feb-2026,Fully Paid,fractional,Cash,12947.84,19612.5,8585.88,3825.94,49.11
"Scientist, biomedical",8,PA,MORTGAGE,170873,Source Verified,13.91,,Source Verified,26.18,0,7.0,2010,7,34,22,201858,8190,1,1,,2,2661,5,4,6,6,1,2,1,6001,1,8,8,3,60.3,0,0,small_business,joint,45173,36,16.86,778.84,A,B2,Apr-2024,Current,fractional,Cash,21797.96,33147.04,11842.94,1742.48,327.88
Records manager,3,IL,OWN,68187,Not Verified,8.89,,Not Verified,,0,,2011,9,7,10,175020,5687,0,3,,1,3497,1,4,21,9,1,1,7,9613,7,13,7,1,63.8,0,0,small_business,joint,10177,36,17.74,363.46,D,D1,May-2023,Current,whole,Cash,8914.11,6161.82,1359.97,729.08,23.52
Associate Professor,9,NC,MORTGAGE,28766,Source Verified,7.65,,Verified,12.85,2,,2016,1,18,6,88918,60776,0,4,,0,493,3,14,2,11,1,1,6,49527,15,12,9,0,97.0,0,0,debt_consolidation,joint,48780,36,19.8,995.51,A,E2,Aug-2023,Late (16-30 days),fractional,DirectPay,34793.04,22366.14,33396.61,4638.84,329.41
Television production assistant,3,PA,RENT,33805,Source Verified,20.04,80490.0,Not Verified,39.12,0,58.0,2017,9,39,23,251059,247377,1,3,,2,1549,5,4,1,9,1,2,9,2465,22,2,7,3,93.8,0,0,home_improvement,individual,17488,36,21.65,416.38,A,A2,Aug-2024,Current,whole,DirectPay,12846.79,16798.51,10420.6,1266.19,423.02
"Merchandiser, retail",3,CA,OWN,47976,Not Verified,7.36,195271.0,Verified,,0,29.0,1994,5,33,9,244761,219393,1,0,,2,208,3,3,10,1,0,2,9,16801,18,14,5,3,70.7,0,0,home_improvement,joint,18372,36,17.17,353.31,B,B1,Aug-2023,Current,whole,Cash,16512.73,15035.62,3593.48,3144.06,431.96
Senior tax professional/tax inspector,7,NJ,RENT,167010,Verified,20.77,,Verified,31.3,0,,2008,2,35,7,231290,86033,2,2,,0,2056,7,13,1,11,1,1,4,18882,22,6,9,2,89.2,0,0,small_business,individual,40176,60,10.6,1030.15,D,E2,Aug-2024,Fully Paid,fractional,DirectPay,35499.24,817.1,2108.53,2870.5,150.31
Make,10,NJ,MORTGAGE,86155,Source Verified,32.35,,Not Verified,,0,48.0,2000,9,31,17,255915,204466,1,4,,0,4038,5,5,6,10,0,2,4,21275,19,9,1,3,87.7,0,0,debt_consolidation,joint,49985,36,13.54,2173.26,A,E2,Jun-2024,Current,fractional,Cash,97.34,10355.35,10428.76,5162.12,416.7
Farm manager,8,TX,RENT,94752,Not Verified,29.79,,Not Verified,,0,,1993,8,29,1,241622,20956,2,4,,2,3374,3,14,7,12,1,2,6,46781,5,3,6,0,68.3,0,0,other,individual,47516,36,8.53,848.5,E,A1,Feb-2025,Current,whole,DirectPay,22243.22,24834.98,1626.81,5280.15,61.11
"Designer, television/film set",9,TX,MORTGAGE,136401,Source Verified,37.56,166749.0,Not Verified,,0,48.0,1986,3,5,11,15769,15712,0,4,,0,4840,5,2,2,6,1,2,3,23649,22,9,5,3,93.9,0,1,small_business,individual,31548,36,13.56,1017.68,D,C1,Jul-2024,Current,whole,Cash,8443.57,20608.28,19616.5,2856.27,465.29
Financial trader,10,OH,RENT,25454,Source Verified,22.04,,Not Verified,,0,,1991,7,16,14,150146,108159,0,3,,0,3931,4,0,14,7,1,0,4,48593,19,7,7,2,92.4,0,0,moving,joint,46117,60,8.18,1002.54,E,B2,Sep-2023,Current,fractional,Cash,30282.04,42638.82,30836.45,3373.07,36.13
"Lecturer, further education",1,NJ,MORTGAGE,83686,Source Verified,36.37,192508.0,Source Verified,24.66,0,,1991,9,40,2,217043,213870,1,1,,2,3258,4,1,12,2,0,1,6,46021,6,2,4,1,95.2,0,0,other,joint,11875,36,13.35,913.46,E,A1,Mar-2026,Current,fractional,DirectPay,4547.58,7237.16,4676.25,1039.42,264.69
"Chemist, analytical",10,TX,RENT,45520,Not Verified,10.07,,Source Verified,,0,,2016,2,44,6,74964,36813,0,4,,1,769,4,8,22,18,0,0,1,13232,15,14,6,4,91.7,0,0,vacation,joint,48960,60,7.78,2448.0,A,A1,Aug-2023,Current,whole,DirectPay,29200.05,4288.84,20209.4,7177.15,438.01
Ranger/warden,4,NJ,OWN,147925,Source Verified,44.41,209404.0,Not Verified,,0,,2012,7,47,23,99784,92019,0,1,,2,4467,4,9,7,15,0,2,3,3295,2,6,5,1,79.1,0,0,home_improvement,joint,35668,60,23.82,2377.87,B,D2,Jun-2023,Late (31-120 days),whole,DirectPay,3146.49,26695.33,18364.35,4839.86,257.16
"Engineer, broadcasting (operations)",4,OH,MORTGAGE,120374,Verified,22.07,,Not Verified,,0,,1997,4,23,10,87221,22205,0,0,,2,4754,0,3,5,1,1,0,4,39967,2,10,3,1,79.7,0,0,vacation,joint,44416,60,22.45,765.79,A,A2,Aug-2023,Current,whole,DirectPay,34308.32,8975.6,29223.29,7206.98,64.95
"Administrator, sports",9,TX,OWN,168623,Verified,29.31,,Source Verified,38.54,0,,1986,8,13,5,224124,36717,1,2,,0,2622,1,11,9,11,0,2,2,13820,2,6,4,2,75.2,0,0,other,joint,36240,36,16.48,929.23,C,D2,Mar-2024,Current,fractional,DirectPay,31478.76,25303.89,1650.37,564.87,195.17
"Conservator, furniture",3,NC,MORTGAGE,89269,Not Verified,41.13,,Source Verified,,0,,2007,1,23,17,156366,30143,2,2,,1,3119,5,13,10,2,0,1,8,26790,5,2,0,4,91.9,0,0,vacation,joint,8356,36,17.09,253.21,D,B2,Oct-2025,Current,whole,Cash,2449.35,4637.52,6017.48,1021.47,348.62
"Lecturer, higher education",10,AZ,OWN,130661,Verified,8.8,223353.0,Not Verified,,0,20.0,2006,2,28,5,263592,12195,1,2,,1,4067,2,1,5,18,0,2,8,41369,10,13,6,3,99.3,0,0,small_business,joint,48445,60,19.19,1513.91,C,A2,Sep-2025,Current,whole,DirectPay,34838.77,15007.47,28396.23,4284.8,156.62
"Designer, interior/spatial",9,NJ,OWN,58420,Source Verified,11.38,104146.0,Not Verified,36.18,0,,2002,6,43,2,34690,18490,0,0,,1,3579,7,5,6,3,0,0,8,17778,19,10,4,2,75.3,0,0,moving,joint,28142,60,21.55,2010.14,A,D2,Mar-2024,Current,whole,DirectPay,9222.3,24465.09,12850.12,2713.25,164.87
"Runner, broadcasting/film/video",2,IL,OWN,117918,Verified,31.02,194610.0,Not Verified,9.14,0,12.0,1993,4,26,12,54737,53278,0,1,,0,4778,1,0,17,7,1,0,8,34424,9,8,2,1,76.3,0,0,moving,joint,49345,36,12.33,1542.03,A,A1,Jan-2026,Current,whole,DirectPay,47414.52,43466.71,13555.43,7990.06,8.44
"Research officer, political party",5,FL,RENT,39340,Not Verified,26.01,188624.0,Verified,16.4,0,,2014,2,39,3,11535,1702,0,4,,1,2738,5,5,1,17,1,2,2,25216,13,12,3,4,72.1,0,0,home_improvement,joint,22459,36,10.51,423.75,C,E2,Dec-2025,Current,whole,Cash,512.98,16669.65,942.27,3895.44,320.15
"Loss adjuster, chartered",10,NY,OWN,74129,Source Verified,13.92,119485.0,Source Verified,36.56,0,41.0,2006,9,45,19,126416,16980,2,4,,2,3331,1,1,20,4,0,1,1,21549,8,2,6,1,81.7,0,0,moving,joint,23974,60,17.84,1331.89,B,C1,Dec-2025,Current,whole,DirectPay,17021.93,10274.07,3534.11,971.31,154.75
Brewing technologist,3,PA,MORTGAGE,104235,Source Verified,15.85,,Source Verified,,0,,1992,1,17,14,83352,45372,0,0,,0,4269,4,13,15,9,1,1,6,36047,5,10,9,0,62.3,0,0,home_improvement,joint,40620,36,23.55,944.65,D,D2,Dec-2025,Current,fractional,DirectPay,25970.52,29779.16,10426.33,3713.06,109.58
Market researcher,6,OH,MORTGAGE,142779,Verified,16.28,75293.0,Source Verified,32.84,0,,1988,5,18,11,217959,104592,0,2,,0,4394,0,8,20,11,0,1,5,8279,4,8,0,1,94.5,0,0,small_business,joint,38651,36,22.85,702.75,C,B2,Aug-2025,Current,fractional,DirectPay,5637.1,5043.85,20157.06,2846.37,132.52
"Research officer, government",3,NY,OWN,150065,Source Verified,16.91,,Verified,,0,,2010,4,30,12,217182,109383,0,3,,2,1656,4,11,20,12,1,0,4,31736,3,6,7,4,60.1,0,0,home_improvement,individual,24237,36,23.36,673.25,B,A1,Jul-2024,Current,fractional,Cash,10296.93,15553.11,12786.49,4646.97,158.99
TEFL teacher,8,CA,MORTGAGE,153708,Not Verified,8.85,61567.0,Source Verified,,1,,1986,4,45,16,237721,185695,0,2,,2,4492,7,13,1,4,0,1,7,9011,11,2,4,4,61.6,0,0,small_business,individual,15531,60,5.63,352.98,B,D1,Apr-2024,Fully Paid,fractional,Cash,1876.19,8063.75,7673.13,19.2,403.8
Television production assistant,7,CA,OWN,103813,Verified,44.26,,Source Verified,,0,,1999,5,31,19,53917,34884,0,3,,0,3243,7,1,16,19,0,2,7,46232,24,3,6,4,68.2,0,0,vacation,joint,3086,60,18.61,79.13,A,E2,Dec-2024,Current,fractional,DirectPay,485.63,953.27,1789.57,476.92,397.61
Museum/gallery conservator,5,FL,MORTGAGE,110276,Verified,12.84,212467.0,Not Verified,25.95,0,21.0,1998,7,19,10,157377,149905,1,4,,1,860,7,1,1,4,0,2,5,32006,14,14,4,1,63.9,0,0,debt_consolidation,individual,21603,36,14.93,744.93,B,A2,Jul-2024,Current,fractional,DirectPay,11984.53,13663.97,16876.73,3787.05,491.97
"Embryologist, clinical",8,NC,RENT,176445,Verified,15.84,95650.0,Verified,37.4,1,,1986,5,13,16,76270,42363,0,4,,1,4554,3,10,13,9,1,2,1,29247,7,2,7,1,98.1,0,0,moving,individual,21268,60,9.17,1181.56,C,A1,Dec-2025,Current,fractional,DirectPay,2539.23,7477.38,11720.23,3517.79,347.41
Architectural technologist,1,TX,OWN,157111,Source Verified,42.18,,Not Verified,5.97,0,,1993,4,41,14,133103,43579,0,1,,0,734,1,1,17,11,1,1,1,9461,9,10,9,4,98.4,0,0,vacation,joint,3527,60,20.41,251.93,B,B2,Mar-2025,Current,fractional,DirectPay,404.06,1791.07,558.97,36.57,497.24
Chief Marketing Officer,3,NC,MORTGAGE,26956,Verified,16.54,,Verified,,0,,2010,3,49,1,158912,115246,1,0,,1,944,1,10,6,18,1,1,1,6100,22,4,2,4,87.9,0,0,debt_consolidation,individual,49143,36,17.71,927.23,A,E1,Apr-2023,Current,fractional,DirectPay,3501.81,10800.82,2910.84,8838.76,269.82
Publishing copy,2,OH,OWN,91069,Verified,14.04,85670.0,Not Verified,16.14,1,,2012,0,16,23,188545,165269,1,4,,2,1045,0,11,6,17,0,2,8,29970,21,3,6,0,69.9,0,0,debt_consolidation,joint,3060,36,22.39,72.86,B,B1,Mar-2025,Late (31-120 days),whole,DirectPay,1160.6,168.34,1363.19,610.2,354.95
Geographical information systems officer,3,TX,OWN,71556,Not Verified,39.81,57933.0,Not Verified,,0,,1993,9,45,11,240869,138682,0,2,,1,1091,6,2,1,9,0,1,7,24321,9,8,3,4,90.8,0,0,credit_card,joint,48367,60,19.93,1860.27,E,B1,May-2023,Current,fractional,Cash,24413.67,47961.76,12323.26,6008.6,465.16
"Engineer, manufacturing",8,PA,OWN,177588,Not Verified,8.58,155947.0,Not Verified,,1,34.0,2000,1,22,6,32407,11629,0,4,,0,443,3,2,6,5,0,2,3,28473,18,6,6,4,98.7,0,0,medical,individual,16489,60,7.91,1374.08,B,C1,Jun-2023,Current,whole,Cash,13479.03,2220.04,1146.07,1429.35,351.28
"Civil engineer, contracting",10,CA,MORTGAGE,100933,Verified,29.47,,Not Verified,10.27,0,,1985,4,17,16,103536,69091,0,4,,0,1993,1,4,20,16,1,0,3,11388,13,6,7,2,62.5,0,0,medical,individual,29307,36,9.67,1046.68,D,D2,Nov-2024,Current,whole,Cash,9475.52,19552.12,7573.08,2098.33,140.91
Local government officer,3,NY,OWN,176569,Not Verified,33.93,,Not Verified,18.34,0,,1996,5,6,23,79580,48323,2,4,,1,3932,7,2,2,11,1,2,9,13749,19,10,3,1,90.1,0,0,moving,individual,24982,60,17.0,531.53,D,C1,Nov-2024,Current,whole,DirectPay,13455.75,13423.96,1565.67,2767.96,238.6
Logistics and distribution manager,4,CA,RENT,62501,Not Verified,20.61,139374.0,Not Verified,,0,18.0,2014,3,41,1,233597,183397,0,4,32.0,2,3072,3,10,22,7,0,1,8,2278,5,3,0,2,75.8,0,0,other,joint,31367,36,20.89,591.83,E,E1,Dec-2025,Current,whole,Cash,23997.62,6953.47,14920.1,2866.6,152.92
"Psychologist, educational",9,TX,RENT,162680,Verified,9.79,197392.0,Verified,15.26,0,,2000,7,19,2,293713,206252,1,1,,0,2150,3,3,9,14,1,1,9,35872,11,13,4,0,99.7,0,0,moving,individual,8890,36,20.68,522.94,B,E1,Mar-2024,Fully Paid,whole,DirectPay,213.42,1635.08,7080.84,1630.18,116.43
Illustrator,2,NY,RENT,167104,Verified,10.73,,Not Verified,,0,43.0,2015,8,14,5,213318,94503,1,3,,2,4590,7,3,13,11,0,0,6,37068,7,3,1,4,61.2,0,0,other,joint,2187,36,5.91,70.55,C,C1,Jun-2025,Current,whole,DirectPay,2134.54,362.35,1088.44,319.49,77.07
Industrial/product designer,3,FL,OWN,172813,Verified,29.11,158222.0,Not Verified,,0,,1989,9,11,21,27676,21711,2,0,,2,1587,3,13,0,13,0,2,3,15011,23,3,7,3,79.9,0,0,vacation,joint,27512,60,7.62,529.08,D,A1,Jun-2024,Current,fractional,Cash,25323.11,12484.04,915.3,4138.93,23.72
Patent attorney,0,NY,MORTGAGE,173823,Verified,27.51,,Not Verified,19.07,0,55.0,2000,0,44,16,196386,17395,2,3,,1,1883,2,12,11,8,1,2,3,2619,2,7,1,3,89.2,0,0,moving,joint,39249,60,7.47,1569.96,B,D2,Nov-2023,Current,whole,Cash,13850.15,12177.39,2124.74,2916.65,420.82
Textile designer,1,NC,OWN,120901,Not Verified,7.3,73463.0,Verified,26.19,2,35.0,2005,1,38,21,260320,253225,1,4,,0,3808,0,13,16,12,0,1,8,29312,10,5,7,1,81.1,0,0,home_improvement,individual,46476,60,21.39,1499.23,D,A2,Mar-2026,Current,fractional,Cash,2889.41,40452.48,11702.24,6023.4,231.25
Commercial/residential surveyor,0,NJ,MORTGAGE,68550,Source Verified,22.43,227202.0,Not Verified,,0,,1985,9,23,22,76050,15609,0,3,,1,1807,3,6,13,14,0,2,8,43815,3,4,2,2,91.5,0,0,credit_card,individual,32538,36,13.58,774.71,E,D1,Jul-2025,Current,fractional,DirectPay,27406.7,12936.69,15025.07,6032.02,120.36
Chemical engineer,4,NJ,RENT,101522,Source Verified,32.16,,Source Verified,,1,,1999,7,33,16,236208,7677,0,4,,0,1572,7,4,8,17,1,0,1,39035,21,13,5,1,62.5,0,0,debt_consolidation,joint,32081,36,18.64,2005.06,D,D2,Jul-2023,Late (16-30 days),whole,Cash,11750.13,12213.38,297.45,346.57,220.99
"Pilot, airline",6,NC,OWN,123174,Not Verified,41.24,,Not Verified,23.4,0,31.0,2001,0,9,18,66641,62127,2,2,,2,3717,6,11,17,5,1,2,5,49448,18,4,5,3,70.5,0,0,debt_consolidation,joint,22492,36,22.79,449.84,B,C2,Dec-2024,Late (31-120 days),fractional,Cash,16529.38,4480.84,3858.14,1501.98,0.94
"Pharmacist, hospital",10,FL,MORTGAGE,50961,Verified,31.68,196705.0,Not Verified,,0,,1989,4,14,2,268895,176847,2,3,,2,1552,1,3,19,12,0,0,1,19202,20,9,3,4,68.2,0,0,small_business,joint,49215,60,22.24,911.39,D,A1,Apr-2026,Current,fractional,DirectPay,11468.66,37300.78,6037.51,3557.71,291.51
Waste management officer,7,TX,RENT,165427,Source Verified,40.47,,Source Verified,25.53,2,,1998,2,42,24,78284,16054,2,0,,0,4903,4,7,19,7,0,2,5,34847,14,7,3,3,60.8,0,0,debt_consolidation,joint,45063,60,11.83,3004.2,D,B2,Apr-2026,Late (16-30 days),whole,Cash,41651.12,8347.09,14101.97,5523.07,357.19
Curator,8,OH,MORTGAGE,28854,Source Verified,41.96,,Verified,,0,,1989,9,25,11,147000,87290,1,3,,1,2533,4,0,16,1,0,0,2,49261,21,1,6,0,99.0,0,0,credit_card,individual,41200,60,13.92,1648.0,E,C2,May-2023,Current,whole,Cash,28633.59,37308.34,12768.84,3634.55,152.52
Waste management officer,10,PA,OWN,70733,Source Verified,31.54,114117.0,Verified,,0,,2015,1,45,9,178335,56919,1,1,,2,384,4,5,23,1,0,0,5,30301,21,14,5,0,97.1,0,0,other,individual,19825,36,6.04,550.69,D,E2,Dec-2024,Current,fractional,Cash,14698.6,13297.93,5393.57,296.89,404.0
"Production assistant, radio",4,NY,RENT,152514,Source Verified,33.7,135123.0,Verified,,0,,2000,1,7,15,285342,271106,0,2,57.0,0,4094,2,6,11,12,1,2,1,35259,6,2,9,3,68.3,0,0,moving,individual,28585,60,15.84,714.62,A,E1,Dec-2023,Current,fractional,DirectPay,1881.94,11291.55,15600.33,454.17,337.75
"Engineer, energy",4,IL,MORTGAGE,172755,Verified,20.73,158926.0,Not Verified,35.56,0,35.0,2009,6,48,24,188009,134525,1,3,,0,3288,0,11,23,1,1,1,5,25020,11,11,1,3,98.3,0,0,small_business,joint,10865,60,15.53,301.81,B,B1,Apr-2023,Fully Paid,fractional,DirectPay,8959.25,5543.96,2814.05,289.68,374.83
Glass blower/designer,1,AZ,OWN,100487,Verified,12.21,111569.0,Not Verified,38.5,1,,2009,6,45,9,235324,53533,2,4,,1,2070,3,5,14,12,1,1,1,41968,10,8,8,0,97.0,0,0,small_business,individual,32627,60,19.41,725.04,E,E1,Jul-2024,Late (16-30 days),whole,Cash,2336.11,23712.05,6058.92,610.52,59.24
Data scientist,7,NJ,RENT,31693,Source Verified,20.1,105287.0,Verified,,0,55.0,2004,0,31,20,178099,27696,1,4,,0,3849,4,8,4,15,1,2,1,15696,4,8,8,3,95.0,1,0,medical,joint,18275,36,19.28,388.83,D,A2,Dec-2023,Current,fractional,Cash,10154.5,10602.16,1486.35,1980.09,39.48
"Engineer, land",8,OH,MORTGAGE,91415,Source Verified,38.85,186845.0,Not Verified,34.64,0,9.0,2011,4,17,13,112757,68191,1,4,,1,1372,4,7,23,6,1,1,5,27532,6,4,2,3,86.7,0,0,small_business,individual,38565,36,17.86,1168.64,D,E2,Jun-2025,Current,fractional,DirectPay,17455.38,820.51,21401.43,5400.61,316.01
Health physicist,7,PA,RENT,51027,Verified,33.38,199843.0,Verified,,0,,2000,4,36,1,236988,15261,1,0,,1,822,0,1,23,15,0,2,7,2510,12,13,2,3,94.2,0,0,debt_consolidation,individual,10582,36,9.4,587.89,D,C2,Dec-2024,Current,whole,Cash,208.63,2109.16,404.03,1073.09,329.56
"Surveyor, minerals",1,OH,OWN,131219,Verified,15.95,150802.0,Not Verified,23.32,0,,2005,3,25,10,203362,85328,1,0,,0,2222,7,5,18,16,1,1,2,34418,21,1,9,0,74.2,0,0,other,individual,27826,36,5.79,927.53,E,A1,Dec-2023,Current,whole,Cash,19888.93,11986.4,13116.63,4812.58,27.32
Secondary school teacher,7,IL,RENT,73468,Not Verified,23.62,241303.0,Verified,,0,36.0,1991,5,22,9,280354,158990,0,2,,2,1320,6,10,19,4,0,1,9,24741,24,2,1,1,69.5,0,0,credit_card,individual,19302,60,11.8,364.19,C,D2,Dec-2024,Current,whole,DirectPay,6487.53,1486.09,6042.35,1819.55,408.24
"Psychotherapist, dance movement",6,NC,RENT,53076,Source Verified,20.66,229756.0,Verified,,0,32.0,2016,6,30,17,243988,213959,1,3,,0,3790,6,2,7,8,0,0,8,37280,5,11,1,3,81.9,0,0,home_improvement,joint,28725,60,8.94,897.66,E,C2,Dec-2023,Current,fractional,Cash,704.88,4826.29,2181.11,4803.3,426.62
Waste management officer,3,IL,MORTGAGE,58741,Source Verified,7.76,,Verified,8.75,0,,1985,5,9,21,249841,35349,0,0,,0,2119,6,9,5,7,1,2,5,29790,17,6,4,2,66.0,0,0,medical,individual,47940,60,17.34,871.64,E,E1,Feb-2024,Current,whole,Cash,20170.91,28792.9,153.75,6934.71,131.13
Actor,8,NJ,RENT,175987,Source Verified,6.33,,Not Verified,,0,22.0,2005,0,47,11,265423,69731,1,2,,2,2754,2,7,6,14,1,0,1,8819,6,2,4,2,85.8,0,0,home_improvement,individual,31588,60,5.31,770.44,E,E1,Oct-2024,Current,whole,DirectPay,9353.69,27933.68,10071.83,35.43,446.74
Petroleum engineer,6,TX,OWN,136056,Source Verified,38.22,,Verified,,1,,2011,8,17,1,279911,18953,2,2,,1,3645,5,10,18,16,1,1,4,49842,1,12,9,2,89.7,0,0,debt_consolidation,individual,9193,60,15.57,270.38,A,E2,Dec-2025,Current,whole,Cash,5601.11,5495.94,2493.27,251.29,212.42
Tourist information centre manager,6,OH,OWN,75259,Verified,9.85,,Not Verified,7.82,0,26.0,2006,2,38,18,42921,21304,2,1,,1,1089,1,11,0,5,0,0,1,40276,10,11,4,4,99.3,0,1,home_improvement,joint,34024,60,16.37,1000.71,C,B1,Aug-2023,Current,whole,DirectPay,21460.78,13353.15,15898.25,84.92,8.94
"Engineer, building services",2,PA,OWN,121645,Not Verified,35.11,,Verified,,0,,2000,3,15,17,41410,25399,2,3,,2,1623,0,9,22,6,0,0,6,46005,13,5,5,2,70.0,0,0,small_business,joint,16160,36,19.31,448.89,B,D2,Nov-2023,Late (16-30 days),whole,Cash,13708.42,3344.76,1526.75,267.12,443.41
Archaeologist,0,NY,RENT,160562,Not Verified,33.36,,Not Verified,,0,35.0,1998,8,17,1,63494,60956,0,0,,2,1024,7,14,7,1,0,1,1,16487,7,6,8,4,78.0,0,0,medical,individual,7801,60,7.98,190.27,A,A2,May-2023,Late (16-30 days),fractional,Cash,117.98,1413.44,1385.29,125.08,14.44
Corporate treasurer,10,NY,OWN,105991,Not Verified,17.39,,Not Verified,,0,,1995,0,37,6,146567,139015,2,1,,1,192,6,11,13,15,0,0,8,37927,24,3,5,2,78.2,0,0,moving,individual,33326,36,16.38,1586.95,D,C2,Dec-2024,Current,whole,DirectPay,3179.9,18052.24,6134.07,4187.39,95.06
Building services engineer,2,CA,OWN,29300,Not Verified,14.41,89471.0,Verified,,0,,1994,9,5,7,272099,240593,0,4,,2,3829,1,1,18,2,1,0,6,47920,10,1,4,0,72.5,0,0,vacation,joint,30551,36,14.74,898.56,B,B2,May-2025,Current,fractional,DirectPay,14067.98,1544.96,6418.44,4753.35,34.77
Advice worker,3,CA,OWN,124824,Not Verified,40.65,,Not Verified,13.86,0,,1992,2,28,22,45757,29377,2,0,,0,3942,2,0,7,5,1,2,1,38753,5,3,5,4,94.2,0,0,moving,individual,23340,60,17.06,518.67,D,C1,May-2024,Current,fractional,Cash,21093.73,11585.7,2678.17,341.02,336.55
"Librarian, public",2,TX,OWN,42986,Verified,25.07,118359.0,Verified,16.09,1,,1988,4,31,7,219584,47165,0,0,,0,4313,6,10,0,9,0,1,3,27464,7,3,8,1,97.4,0,0,home_improvement,individual,46618,60,23.51,879.58,B,B2,Sep-2023,Fully Paid,whole,Cash,31559.11,18130.75,19254.03,6184.85,77.54
Armed forces logistics/support/administrative officer,7,AZ,MORTGAGE,157951,Not Verified,30.49,240407.0,Not Verified,,0,53.0,2010,4,40,5,84481,73161,2,2,,0,4318,3,4,19,14,1,2,1,12711,3,14,8,0,97.8,0,0,moving,individual,16885,60,12.89,703.54,B,D1,Jul-2025,Current,fractional,Cash,16079.79,16865.67,4219.29,1966.42,216.93
Engineering geologist,7,OH,MORTGAGE,88404,Source Verified,30.61,56466.0,Not Verified,,0,,2010,3,27,15,207215,145335,0,0,,0,4236,7,4,8,1,1,1,9,23748,14,13,0,4,63.3,0,0,moving,joint,15819,36,5.09,451.97,E,D1,Sep-2023,Current,fractional,DirectPay,1549.66,1696.39,11135.46,352.05,60.52
Homeopath,9,OH,RENT,65296,Source Verified,36.71,,Verified,17.96,0,45.0,2008,0,42,12,82549,15898,2,3,31.0,2,4973,7,6,23,5,0,1,9,43705,12,3,5,2,69.9,0,0,home_improvement,individual,44164,60,10.0,1193.62,C,C1,Sep-2024,Current,fractional,Cash,5935.23,16018.23,12788.77,8110.52,164.25
Financial adviser,1,NJ,RENT,80290,Not Verified,10.73,242789.0,Source Verified,,0,38.0,1986,5,7,17,41713,17152,0,1,,0,3997,6,0,4,6,0,1,9,18528,11,5,2,4,62.7,0,0,debt_consolidation,joint,18829,36,20.06,400.62,C,B1,Mar-2024,Current,fractional,Cash,4742.77,18627.35,6905.13,2641.54,382.19
Office manager,0,OH,RENT,113454,Not Verified,38.98,,Verified,5.47,0,15.0,1997,6,22,4,49403,39698,1,1,,2,432,5,13,20,8,1,0,1,18912,10,11,2,2,88.5,0,0,credit_card,joint,32316,60,13.83,950.47,D,C1,May-2023,Current,fractional,Cash,29866.24,15661.63,2588.44,243.67,102.99
"Geneticist, molecular",1,NY,RENT,52314,Verified,27.43,,Verified,,0,,2000,6,11,6,205564,53741,1,1,,2,1174,5,13,15,10,0,1,9,36759,5,8,2,0,88.5,0,0,vacation,individual,6511,36,11.14,122.85,E,D2,Mar-2025,Current,whole,Cash,1419.33,4635.03,657.77,1208.78,447.78
"Pilot, airline",4,NC,RENT,28648,Verified,9.67,,Not Verified,30.75,0,,2014,6,12,6,112279,43908,2,2,,0,658,2,5,11,5,0,0,2,31127,17,12,8,1,71.0,0,0,other,individual,42108,36,13.04,842.16,D,C2,Jan-2024,Current,whole,Cash,4026.56,19356.82,3598.15,3108.01,432.58
"Engineer, structural",6,NY,OWN,140144,Not Verified,26.94,,Source Verified,,0,,2013,8,47,5,24815,3519,1,3,,1,4433,7,12,2,1,0,2,7,27859,19,8,5,1,80.0,0,0,medical,joint,28073,36,5.91,738.76,E,B2,Sep-2025,Current,whole,Cash,21441.64,7424.91,13721.68,4759.71,355.89
Herpetologist,8,IL,RENT,141097,Verified,25.55,,Not Verified,23.52,0,,2005,7,20,11,80296,16666,1,1,,1,1950,2,3,15,1,1,1,3,32409,21,13,2,0,62.3,0,0,moving,individual,45183,60,8.74,2510.17,A,B2,Mar-2024,Current,fractional,DirectPay,21268.81,27039.82,4842.06,7799.93,122.1
"Psychotherapist, dance movement",6,FL,OWN,105029,Source Verified,19.38,186473.0,Not Verified,,0,,1998,1,44,14,144245,132081,1,4,,2,1339,0,9,6,7,0,0,9,28214,2,6,9,2,97.5,0,0,medical,individual,38103,60,21.31,1154.64,A,E2,Nov-2024,Current,whole,DirectPay,19527.82,34421.24,6822.49,601.14,341.23
